DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,Year,Month,Day,LEVEL,Is_quarter_end,Difference,Percent
2015-10-23,139.7,140.19,138.5,138.94,30146610,2015,10,23,lower,0,1.6899999999999977,1.2055068121834636
2015-10-26,139.1,139.99,136.65,138.5,32861500,2015,10,26,lower,0,3.3400000000000034,2.3858847060504345
2015-10-27,137.37,138.5,135.66,138.5,35904460,2015,10,27,lower,0,2.8400000000000034,2.05054151624549
2015-10-28,138.25,138.34,135.8,138.1,36155860,2015,10,28,lower,0,2.539999999999992,1.8360560936822263
2015-10-29,138.25,138.3,135.52,136.11,27852820,2015,10,29,lower,0,2.780000000000001,2.0101229211858285
2015-10-30,136.04,136.66,135.18,135.75,23783680,2015,10,30,lower,0,1.4799999999999898,1.082979657544263
2015-11-02,135.46,137.8,135.12,137.8,23014600,2015,11,2,lower,0,2.680000000000007,1.9448476052249686
2015-11-03,137.69,142.0,137.41,141.75,38369930,2015,11,3,lower,0,4.590000000000003,3.2323943661971852
2015-11-05,141.88,142.94,140.48,140.97,36746220,2015,11,5,lower,0,2.460000000000008,1.7210018189450176
2015-11-06,140.91,142.3,137.3,137.75,34912550,2015,11,6,lower,0,5.0,3.5137034434293746
2015-11-09,138.08,138.34,135.7,136.5,26029040,2015,11,9,lower,0,2.640000000000015,1.908341766661858
2015-11-10,136.42,136.95,135.32,135.58,27148220,2015,11,10,lower,0,1.6299999999999955,1.1902154070828737
2015-11-11,135.89,136.65,134.6,135.0,30502590,2015,11,11,lower,0,2.0500000000000114,1.5001829491401473
2015-11-12,135.1,138.87,134.53,136.6,50062350,2015,11,12,lower,0,4.340000000000003,3.1252250306041645
2015-11-13,136.44,137.36,135.7,136.0,28839490,2015,11,13,lower,0,1.660000000000025,1.2085032032615206
2015-11-16,136.44,139.2,135.6,137.21,35780450,2015,11,16,lower,0,3.5999999999999943,2.58620689655172
2015-11-17,138.27,143.5,137.82,142.75,61481020,2015,11,17,lower,0,5.680000000000007,3.958188153310109
2015-11-18,142.84,147.95,141.78,147.47,51720780,2015,11,18,lower,0,6.1699999999999875,4.170327813450482
2015-11-19,148.14,149.98,145.17,147.5,61575170,2015,11,19,lower,0,4.810000000000002,3.2070942792372334
2015-11-20,146.2,148.91,144.74,148.05,30756730,2015,11,20,lower,0,4.1699999999999875,2.800349204217304
2015-11-23,147.83,152.0,145.88,152.0,42917610,2015,11,23,lower,0,6.1200000000000045,4.026315789473687
2015-11-24,151.82,152.84,144.7,145.65,60229750,2015,11,24,lower,0,8.140000000000015,5.3258309343103996
2015-11-25,146.01,147.07,142.26,143.99,43511250,2015,11,25,lower,0,4.810000000000002,3.2705514380907066
2015-11-26,144.29,146.21,141.86,143.2,31468580,2015,11,26,lower,0,4.349999999999994,2.97517269680596
2015-11-27,142.99,143.1,140.62,140.65,29712390,2015,11,27,lower,0,2.4799999999999898,1.7330538085254996
