TICKER;PERIOD;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
RI.RTSI;D;20150105;0;785.8000000;789.0900000;744.2300000;761.3000000;0
RI.RTSI;D;20150106;0;755.0300000;755.0300000;723.2100000;746.4800000;0
RI.RTSI;D;20150108;0;746.0900000;822.3200000;744.7700000;812.0200000;0
RI.RTSI;D;20150109;0;810.0700000;820.1500000;765.9400000;782.6200000;0
RI.RTSI;D;20150112;0;776.4500000;778.9700000;748.9200000;756.6300000;0
RI.RTSI;D;20150113;0;755.2300000;758.1500000;724.6400000;737.8800000;0
RI.RTSI;D;20150114;0;738.1500000;744.3900000;723.9800000;743.0600000;0
RI.RTSI;D;20150115;0;756.4500000;776.2700000;751.9300000;762.3900000;0
RI.RTSI;D;20150116;0;754.7800000;770.6800000;747.8400000;769.8000000;0
RI.RTSI;D;20150119;0;769.3100000;797.9700000;763.6500000;766.5700000;0
RI.RTSI;D;20150120;0;765.4600000;773.1500000;750.8500000;756.2700000;0
RI.RTSI;D;20150121;0;760.9600000;784.1500000;752.8900000;782.1300000;0
RI.RTSI;D;20150122;0;782.6800000;821.3400000;778.5700000;817.1400000;0
RI.RTSI;D;20150123;0;821.4100000;845.6500000;817.0600000;820.9900000;0
RI.RTSI;D;20150126;0;815.9900000;815.9900000;777.2100000;781.3100000;0
RI.RTSI;D;20150127;0;756.3600000;785.2500000;743.3900000;783.5300000;0
RI.RTSI;D;20150128;0;790.5200000;803.5400000;762.8800000;765.3700000;0
RI.RTSI;D;20150129;0;762.8500000;769.3100000;747.4500000;747.4500000;0
RI.RTSI;D;20150130;0;751.7900000;764.5900000;720.3100000;737.3500000;0
RI.RTSI;D;20150202;0;754.8400000;760.0700000;725.1700000;745.8200000;0
RI.RTSI;D;20150203;0;752.7200000;787.8200000;752.7200000;786.6900000;0
RI.RTSI;D;20150204;0;797.8400000;809.9600000;766.1800000;770.6300000;0
RI.RTSI;D;20150205;0;765.1100000;807.6500000;753.3700000;804.5000000;0
RI.RTSI;D;20150206;0;805.3600000;832.6600000;804.3600000;826.4000000;0
RI.RTSI;D;20150209;0;827.1400000;882.9300000;825.0700000;840.4800000;0
RI.RTSI;D;20150210;0;836.5600000;854.6400000;821.0800000;825.8900000;0
RI.RTSI;D;20150211;0;845.0200000;854.5700000;832.0300000;832.3300000;0
RI.RTSI;D;20150212;0;853.0800000;884.4100000;821.7600000;861.9300000;0
RI.RTSI;D;20150213;0;876.9500000;914.2100000;876.9500000;914.0500000;0
RI.RTSI;D;20150216;0;912.7600000;924.0600000;895.5900000;897.3500000;0
RI.RTSI;D;20150217;0;897.4500000;933.4400000;891.3600000;894.6100000;0
RI.RTSI;D;20150218;0;906.3900000;937.0700000;906.3900000;929.3500000;0
RI.RTSI;D;20150219;0;927.1500000;927.2000000;888.1500000;906.5100000;0
RI.RTSI;D;20150220;0;912.9300000;923.6100000;902.0200000;910.4200000;0
RI.RTSI;D;20150224;0;897.1200000;898.0400000;869.9100000;888.6900000;0
RI.RTSI;D;20150225;0;888.2600000;892.0600000;875.6900000;883.8800000;0
RI.RTSI;D;20150226;0;897.5900000;921.7800000;897.5900000;911.9800000;0
RI.RTSI;D;20150227;0;905.0600000;912.2500000;885.1100000;896.6300000;0
RI.RTSI;D;20150302;0;901.6200000;907.2100000;892.2300000;903.5600000;0
RI.RTSI;D;20150303;0;899.0000000;925.7300000;894.0900000;917.0500000;0
RI.RTSI;D;20150304;0;918.2900000;924.8600000;888.2700000;889.6800000;0
RI.RTSI;D;20150305;0;896.3800000;920.4400000;889.8300000;912.3800000;0
RI.RTSI;D;20150306;0;913.1200000;933.6500000;903.4500000;903.4500000;0
RI.RTSI;D;20150310;0;896.1300000;896.7300000;845.3600000;845.3600000;0
RI.RTSI;D;20150311;0;842.6000000;859.2600000;835.7000000;847.9800000;0
RI.RTSI;D;20150312;0;855.7400000;871.1000000;855.7400000;859.2600000;0
RI.RTSI;D;20150313;0;856.8000000;858.6500000;830.9900000;833.5700000;0
RI.RTSI;D;20150316;0;825.1300000;830.8600000;811.4100000;812.8800000;0
RI.RTSI;D;20150317;0;816.1200000;831.4800000;816.1200000;822.7600000;0
RI.RTSI;D;20150318;0;828.1800000;845.8500000;828.1800000;841.0500000;0
RI.RTSI;D;20150319;0;873.5200000;873.5200000;843.5500000;847.9900000;0
RI.RTSI;D;20150320;0;842.2200000;868.3200000;839.2600000;862.1400000;0
RI.RTSI;D;20150323;0;868.5600000;871.8700000;853.9200000;859.1400000;0
RI.RTSI;D;20150324;0;859.3400000;882.9800000;851.8800000;880.2800000;0
RI.RTSI;D;20150325;0;882.9100000;897.0100000;877.3700000;882.0700000;0
RI.RTSI;D;20150326;0;889.6600000;911.3500000;867.3900000;868.6200000;0
